Section,Text
Founding,"In December 2015, OpenAI was founded as the nonprofit organization OpenAI, Inc., by Elon Musk,  Sam Altman, Ilya Sutskever, Greg Brockman, Trevor Blackwell, Vicki Cheung, Andrej Karpathy, Durk Kingma, John Schulman, Pamela Vagata, and Wojciech Zaremba, with Elon Musk and Sam Altman as the co-chairs. A total of $1 billion in capital was pledged by Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services (AWS), and Infosys. However, the actual capital collected significantly lagged pledges. According to tax filings, only $133.2 million had been received by 2021.
Elon Musk stated in 2015 that he was partly motivated by concerns about AI safety and existential risk from artificial general intelligence. OpenAI stated that ""it's hard to fathom how much human-level AI could benefit society"", and that it is equally difficult to comprehend ""how much it could damage society if built or used incorrectly"". The startup also wrote that AI ""should be an extension of individual human wills and, in the spirit of liberty, as broadly and evenly distributed as possible"", and that ""because of AI's surprising history, it's hard to predict when human-level AI might come within reach. When it does, it'll be important to have a leading research institution which can prioritize a good outcome for all over its own self-interest."" Co-chair Sam Altman expected a decades-long project that eventually surpasses human intelligence.
In its founding charter, OpenAI defined its mission as ensuring that artificial general intelligence (AGI) ""benefits all of humanity"", and stated an intention to collaborate openly with other institutions by making certain patents and research publicly available, but later restricted access to its most capable models, citing competitive and safety concerns. OpenAI was initially run from Brockman's living room. It was later headquartered at the Pioneer Building in the Mission District, San Francisco.
Brockman met with Yoshua Bengio, one of the ""founding fathers"" of deep learning, and drew up a list of great AI researchers. Brockman was able to hire nine of them as the first employees in December 2015. OpenAI did not pay AI researchers salaries comparable to those of Facebook or Google. It also did not pay stock options which AI researchers typically get. Nevertheless, OpenAI spent $7 million on its first 52 employees in 2016. OpenAI's potential and mission drew these researchers to the firm; a Google employee said he was willing to leave Google for OpenAI ""partly because of the very strong group of people and, to a very large extent, because of its mission."" OpenAI co-founder Wojciech Zaremba stated that he turned down ""borderline crazy"" offers of two to three times his market value to join OpenAI instead.
In April 2016, OpenAI released a public beta of ""OpenAI Gym"", its platform for reinforcement learning research. Nvidia gifted its first DGX-1 supercomputer to OpenAI in August 2016 to help it train larger and more complex AI models with the capability of reducing processing time from six days to two hours. In December 2016, OpenAI released ""Universe"", a software platform for measuring and training an AI's general intelligence across the world's supply of games, websites, and other applications."
Corporate structure,
Business model,"OpenAI employs a tiered revenue model that combines free consumer access, paid subscription services, enterprise licensing, and application programming interface (API) usage-based pricing. The model reflects a freemium software as a service (SaaS) structure in which basic functionality is provided at no cost, while advanced capabilities are offered through paid plans such as ChatGPT Plus and enterprise solutions.
Freemium SaaS models are designed to convert free users into paying customers by emphasizing perceived value, user satisfaction, and feature differentiation. Research on SaaS conversion indicates that perceived usefulness and alignment with user needs are central predictors of willingness to subscribe.
Studies applying the technology acceptance model (TAM) to ChatGPT usage have found that perceived usefulness and perceived ease of use significantly influence behavioral intention and continued adoption. Workplace adoption research has similarly reported that perceived intelligence and information support increase knowledge acquisition and strengthen intent to use generative AI systems.
OpenAI's subscription and enterprise offerings are structured around scalable compute usage and API integration into third-party platforms. In 2025, the company reported significant revenue growth associated with expanded computing infrastructure and enterprise adoption. The introduction of diversified revenue streams, including subscription tiers, enterprise contracts, API licensing, and advertising experiments in certain segments, reflects a multi-channel monetization approach.
Financial market research has also documented abnormal stock returns among publicly traded firms referencing ChatGPT in regulatory filings, suggesting that generative AI adoption has been associated with investor expectations of productivity and revenue effects.
The sustainability of freemium AI platforms has been linked in academic literature to continued enterprise integration across sectors, including finance, supply chains, and sustainability risk management.
The company's cash burn remains high because of the intensive computational costs required to train and operate large language models. It projects an $8 billion operating loss in 2025. OpenAI reports revised long-term spending projections totaling approximately $115 billion through 2029, with annual expenditures projected to escalate significantly, reaching $17 billion in 2026, $35 billion in 2027, and $45 billion in 2028. These expenditures are primarily allocated toward expanding compute infrastructure, developing proprietary AI chips, constructing data centers, and funding intensive model training programs, with more than half of the spending through the end of the decade expected to support research-intensive compute for model training and development.
The company's financial strategy prioritizes market expansion and technological advancement over near-term profitability, with OpenAI targeting cash-flow-positive operations by 2029 and projecting revenue of approximately $200 billion by 2030. This aggressive spending trajectory underscores both the enormous capital requirements of scaling cutting-edge AI technology and OpenAI's commitment to maintaining its position as a leader in the artificial intelligence industry.
In October 2025, OpenAI completed an employee share sale of up to $10 billion to existing investors which valued the company at $500 billion. The deal values OpenAI as the most valuable privately owned company in the world—surpassing SpaceX as the world's most valuable private company.
In April 2026, reports indicated that OpenAI projected approximately $2.5 billion in advertising revenue for the year, with estimates rising to $100 billion annually by 2030, highlighting advertising as a key component of its future business strategy.
In June 2026, it was announced that OpenAI and the White House have been in ongoing talks for about a year to allow a possible government stake in the company."
Services,
Management,
Governance and legal issues,"In May 2023, Sam Altman, Greg Brockman and Ilya Sutskever posted recommendations for the governance of superintelligence. They stated that superintelligence could happen within the next 10 years, allowing a ""dramatically more prosperous future"" and that ""given the possibility of existential risk, we can't just be reactive"". They proposed creating an international watchdog organization similar to IAEA to oversee AI systems above a certain capability threshold, suggesting that relatively weak AI systems, on the other hand, should not be overly regulated. They also called for more technical safety research for superintelligences, and asked for more coordination, for example through governments launching a joint project which ""many current efforts become part of"".
In July 2023, the FTC issued a civil investigative demand to OpenAI to investigate whether the company's data security and privacy practices to develop ChatGPT were unfair or harmed consumers (including by reputational harm) in violation of Section 5 of the Federal Trade Commission Act of 1914. These are typically preliminary investigative matters and are nonpublic, but the FTC's document was leaked. They asked OpenAI for comprehensive information about its technology and privacy safeguards, as well as any steps taken to prevent the recurrence of situations in which its chatbot generated false and disparaging content about people. The agency also raised concerns about 'circular' spending arrangements—for example, Microsoft extending Azure credits to OpenAI while both companies shared engineering talent—and warned that such structures could negatively affect the public.
In September 2024, OpenAI's global affairs chief endorsed the UK's ""smart"" AI regulation during testimony to a House of Lords committee.
In February 2025, OpenAI CEO Sam Altman stated that the company is interested in collaborating with the People's Republic of China, despite regulatory restrictions imposed by the U.S. government. This shift comes in response to the growing influence of the Chinese artificial intelligence company DeepSeek, which has disrupted the AI market with open models, including DeepSeek V3 and DeepSeek R1. Following DeepSeek's market emergence, OpenAI enhanced security protocols to protect proprietary development techniques from industrial espionage. Some industry observers noted similarities between DeepSeek's model distillation approach and OpenAI's methodology, though no formal intellectual property claim was filed.
According to Oliver Roberts, in March 2025, the United States had 781 state AI bills or laws. OpenAI advocated for preempting state AI laws with federal laws. According to Scott Kohler, OpenAI has opposed California's AI legislation and suggested that the state bill encroaches on a more competent federal government. Public Citizen opposed a federal preemption on AI and pointed to OpenAI's growth and valuation as evidence that existing state laws have not hampered innovation.
In early 2026, OpenAI provided the entire initial funding for the Parents & Kids Safe AI Coalition. Several organizations contacted on behalf of the coalition reported being unaware of OpenAI's involvement."
See also,"Google DeepMind – AI research laboratory
Lumo – AI assistant
Meta AI – Artificial intelligence division of Meta Platforms
Mistral AI – French artificial intelligence company
Perplexity AI – American artificial intelligence company
xAI – American artificial intelligence subsidiary of SpaceX"
References,
Further reading,
Notes,
External links,"
Official website"
